glyph,total,initial,initial_pct,medial,medial_pct,final,final_pct
f,491,118,24.03,357,72.71,16,3.26
s,6899,4024,58.33,1922,27.86,953,13.81
a,13972,1742,12.47,12158,87.02,72,0.52
c,12924,6525,50.49,6395,49.48,4,0.03
h,17300,2,0.01,17227,99.58,71,0.41
y,17040,1596,9.37,1046,6.14,14398,84.50
l,10164,1271,12.50,3510,34.53,5383,52.96
k,10596,1004,9.48,9524,89.88,68,0.64
r,7267,384,5.28,1549,21.32,5334,73.40
n,6051,2,0.03,275,4.54,5774,95.42
t,6789,931,13.71,5792,85.31,66,0.97
i,11467,18,0.16,11442,99.78,7,0.06
o,24491,7850,32.05,15727,64.22,914,3.73
d,12649,3343,26.43,8770,69.33,536,4.24
e,19792,157,0.79,19522,98.64,113,0.57
p,1661,544,32.75,1088,65.50,29,1.75
m,1050,3,0.29,87,8.29,960,91.43
b,11,2,18.18,8,72.73,1,9.09
x,26,3,11.54,17,65.38,6,23.08
g,107,8,7.48,45,42.06,54,50.47
j,44,5,11.36,10,22.73,29,65.91
q,5342,5262,98.50,77,1.44,3,0.06
%,998,17,1.70,959,96.09,22,2.20
u,9,0,0.00,8,88.89,1,11.11
\,10,0,0.00,10,100.00,0,0.00
|,7,0,0.00,7,100.00,0,0.00
v,20,2,10.00,14,70.00,4,20.00
1,64,6,9.38,43,67.19,15,23.44
6,5,0,0.00,5,100.00,0,0.00
9,5,0,0.00,5,100.00,0,0.00
7,14,1,7.14,13,92.86,0,0.00
0,22,0,0.00,21,95.45,1,4.55
2,14,4,28.57,3,21.43,7,50.00
z,1,0,0.00,1,100.00,0,0.00
8,1,1,100.00,0,0.00,0,0.00
w,13,10,76.92,3,23.08,0,0.00
:,1,0,0.00,0,0.00,1,100.00
(,14,14,100.00,0,0.00,0,0.00
),14,0,0.00,0,0.00,14,100.00
;,14,0,0.00,14,100.00,0,0.00
3,2,2,100.00,0,0.00,0,0.00
4,3,3,100.00,0,0.00,0,0.00
5,2,2,100.00,0,0.00,0,0.00
',2,0,0.00,2,100.00,0,0.00
